coin,tf,signal,lev,mode,beat_cnt,total_periods,avg_ret,min_ret,max_dd_avg,avg_trades,bear_2026q1_ret,bear_2025q4_ret,bull_2025q3_ret,bull_2025q2_ret,bear_2025q1_ret,bull_2024h2_ret,bear_2024h1_ret,bull_2023_ret
XRP,1h,ema5/20,2,L+S,4,8,-50.39,-325.7,129.48,222.5,-24.08,24.81,57.66,-92.82,82.63,89.01,-214.64,-325.7
XRP,1h,ema5/20,3,L+S,4,8,-75.59,-488.54,194.21,222.5,-36.12,37.22,86.49,-139.23,123.94,133.52,-321.97,-488.54
SOL,1d,ema10/30,3,L+S,3,8,120.1,-94.44,83.75,5.8,55.54,-60.72,91.99,3.48,-94.44,9.28,-87.6,1043.25
SOL,2h,ema20/50,3,L,3,8,116.27,-94.28,65.64,16.1,-94.28,-48.29,30.66,95.14,-28.6,71.09,29.55,874.88
SOL,1d,c>ema100,3,L,3,8,115.07,-110.69,42.34,5.4,0.0,-110.69,93.11,-19.5,-51.86,-21.27,32.45,998.32
SOL,1d,ema20/50,3,L,3,8,114.3,-72.24,16.38,1.8,0.0,-63.76,115.63,17.05,-72.24,3.86,54.88,858.96
SOL,4h,st3.0,3,L,3,8,111.58,-127.65,55.59,10.1,-84.02,-127.65,96.48,73.04,55.55,13.56,-9.2,874.91
SOL,1d,ema5/20,2,L,3,8,109.53,-60.06,24.09,4.5,-10.17,-60.06,78.11,43.01,-49.3,-12.24,8.93,877.94
SOL,1d,macd12/26,3,L+S,3,8,109.1,-72.51,97.11,11.1,67.15,-68.36,-55.51,-3.5,-72.51,93.78,213.94,697.78
SOL,4h,ema5/20,3,L,3,8,107.21,-88.41,79.32,24.5,-68.43,-88.41,19.9,12.41,-28.24,85.26,47.85,877.35
SOL,1d,c>ema50,2,L+S,3,8,106.85,-43.91,53.82,12.0,50.15,-43.91,23.55,1.34,64.55,26.04,14.08,718.97
XRP,4h,c>ema50,3,L,3,8,104.87,-160.04,74.53,35.4,-64.78,-49.75,93.97,-41.01,0.43,992.1,-160.04,68.08
SOL,2h,ema5/20,3,L,3,8,104.84,-101.01,95.81,50.1,-88.08,-101.01,142.76,-45.47,-55.04,162.95,112.03,710.55
SOL,2h,st4.0,3,L,3,8,104.41,-108.13,59.02,13.4,-25.52,-108.13,42.8,-5.06,-6.02,80.83,-32.48,888.89
SOL,1d,st2.0,2,L,3,8,104.1,-106.03,29.21,3.6,-54.49,-52.51,93.79,35.9,-106.03,-40.54,52.79,903.92
SOL,1d,ema10/30,2,L,3,8,103.85,-66.98,21.41,2.8,-18.2,-66.98,78.21,23.46,-57.63,41.02,11.36,819.54
SOL,1h,ema50/200,3,L+S,3,8,103.32,-115.48,82.65,20.5,-115.48,81.93,-63.72,52.13,-69.32,1.06,88.83,851.16
XRP,4h,ema20/50,3,L,3,8,97.97,-118.8,65.87,8.5,-64.77,-63.08,61.71,-18.41,-110.59,940.02,-118.8,157.71
XRP,2h,ema50/200,3,L,3,8,94.75,-70.84,44.4,5.6,-6.37,-70.84,62.86,-19.53,-47.53,848.72,-65.78,56.45
SOL,1h,ema10/30,3,L,3,8,94.63,-107.98,97.4,60.5,-75.4,-107.98,150.02,-36.47,-73.32,102.74,96.31,701.16
SOL,1d,ema50/200,3,L,3,8,92.61,-122.55,0.0,0.9,0.0,-122.55,48.93,0.0,-76.94,86.73,99.15,705.56
XRP,1d,ema5/20,3,L,3,8,83.19,-81.64,45.65,4.5,-4.43,-53.79,40.62,-14.59,-81.64,782.64,-34.77,31.52
SOL,1d,macd12/26,2,L,3,8,82.13,-74.21,37.45,5.8,-16.89,-74.21,30.15,22.92,-59.4,64.81,111.97,577.7
SOL,1d,ema10/30,2,L+S,3,8,80.06,-62.96,55.84,5.8,37.02,-40.48,61.33,2.32,-62.96,6.18,-58.4,695.5
XRP,1h,c>ema200,3,L,3,8,79.84,-160.28,90.99,68.6,-31.68,-47.37,83.08,-48.98,-34.07,922.58,-160.28,-44.59
XRP,1d,st3.0,3,L,3,8,78.97,-81.44,27.66,2.2,-29.28,-25.88,23.58,-53.42,-81.44,792.34,-75.36,81.21
XRP,1d,macd12/26,2,L,3,8,76.56,-82.8,42.48,5.2,-19.68,-78.26,75.49,1.24,-82.8,666.35,-29.59,79.7
SOL,1d,ema20/50,2,L,3,8,76.2,-48.16,10.92,1.8,0.0,-42.51,77.09,11.36,-48.16,2.57,36.59,572.64
XRP,1d,ema10/30,3,L,3,8,76.2,-59.01,26.44,2.9,-59.01,-36.8,70.59,-34.02,5.65,746.8,-28.79,-54.78
SOL,4h,ema10/30,2,L+S,3,8,75.87,-42.35,63.43,29.2,-42.35,47.38,-35.68,70.81,34.74,23.46,18.91,489.68
SOL,4h,macd26/52,3,L,3,8,75.49,-145.37,65.01,16.5,-145.37,-37.09,4.18,23.57,73.97,-24.04,61.57,647.14
SOL,4h,st3.0,2,L,3,8,74.39,-85.1,37.06,10.1,-56.01,-85.1,64.32,48.69,37.04,9.04,-6.14,583.27
XRP,1d,c>ema200,3,L,3,8,74.22,-101.63,28.46,5.0,-6.14,-68.79,103.98,-13.69,-31.67,761.85,-101.63,-50.12
XRP,4h,ema10/30,2,L,3,8,74.11,-93.29,39.55,15.2,-44.56,-17.0,30.95,16.27,-6.65,649.92,-93.29,57.27
XRP,4h,st4.0,3,L,3,8,73.95,-204.95,83.46,7.0,-130.77,-69.83,56.72,-4.61,-38.99,895.24,-204.95,88.77
SOL,1d,macd12/26,2,L+S,3,8,72.73,-48.34,64.74,11.1,44.77,-45.57,-37.01,-2.33,-48.34,62.52,142.63,465.19
SOL,1h,macd26/52,3,L,3,8,71.43,-147.33,111.09,65.8,-55.27,-147.33,136.63,30.8,25.26,-47.57,-1.13,630.08
XRP,4h,c>ema50,2,L,3,8,69.92,-106.7,49.68,35.4,-43.18,-33.17,62.65,-27.34,0.29,661.4,-106.7,45.39
SOL,2h,ema5/20,2,L,3,8,69.89,-67.34,63.88,50.1,-58.72,-67.34,95.17,-30.31,-36.69,108.63,74.69,473.7
XRP,4h,st2.0,3,L,3,8,69.63,-119.22,71.62,15.9,-64.67,-61.76,72.56,-8.9,-47.39,661.69,-119.22,124.72
SOL,2h,st4.0,2,L,3,8,69.61,-72.08,39.34,13.4,-17.01,-72.08,28.53,-3.37,-4.01,53.89,-21.65,592.59
SOL,1h,ema50/200,2,L+S,3,8,68.88,-76.98,55.1,20.5,-76.98,54.62,-42.48,34.75,-46.21,0.71,59.22,567.44
XRP,2h,ema10/30,3,L,3,8,66.96,-115.87,69.11,31.6,-46.58,-67.9,115.33,-7.75,7.44,651.3,-115.87,-0.3
XRP,1h,ema50/200,2,L,3,8,66.07,-75.48,39.93,10.5,-20.65,-47.12,32.11,0.62,-57.29,609.94,-75.48,86.4
SOL,4h,c>ema50,2,L,3,8,65.57,-56.95,52.11,34.4,-41.0,-56.95,26.47,12.06,-0.39,37.99,-44.74,591.09
SOL,1h,ema10/30,3,L+S,3,8,65.55,-158.8,136.31,121.0,-21.41,-58.28,155.09,-158.8,-52.87,88.08,38.69,533.92
XRP,4h,ema20/50,2,L,3,8,65.32,-79.2,43.92,8.5,-43.18,-42.05,41.14,-12.27,-73.73,626.68,-79.2,105.14
SOL,2h,macd12/26,3,L,3,8,63.64,-165.43,112.17,65.6,-43.09,-165.43,132.75,33.28,-11.46,-13.2,-36.68,612.94
XRP,2h,ema50/200,2,L,3,8,63.16,-47.23,29.6,5.6,-4.25,-47.23,41.9,-13.02,-31.69,565.81,-43.86,37.63
SOL,1h,ema10/30,2,L,3,8,63.09,-71.99,64.93,60.5,-50.27,-71.99,100.01,-24.32,-48.88,68.49,64.21,467.44
SOL,4h,c>ema200,1,L,3,8,62.31,-25.49,15.87,14.4,0.96,-25.49,27.14,24.36,6.08,24.96,19.64,420.8
SOL,1d,ema50/200,2,L,3,8,61.74,-81.7,0.0,0.9,0.0,-81.7,32.62,0.0,-51.29,57.82,66.1,470.37
SOL,2h,st4.0,3,L+S,3,8,61.66,-206.75,115.24,27.1,73.2,-54.52,-60.6,-91.03,90.01,44.22,-206.75,698.71
XRP,4h,st3.0,3,L+S,3,8,60.14,-334.34,125.63,19.0,-56.49,-37.45,66.78,-0.44,-160.81,857.43,-334.34,146.45
SOL,1d,c>ema50,1,L,3,8,60.11,-34.65,12.2,5.8,-4.65,-34.65,30.85,11.52,0.2,23.61,27.85,426.18
SOL,4h,c>ema200,1,L+S,3,8,60.04,-12.52,27.66,29.1,38.15,0.82,4.48,23.83,44.3,15.55,-12.52,365.68
SOL,2h,ema20/50,2,L+S,3,8,59.94,-59.06,72.72,32.5,-47.72,46.22,-59.06,71.42,31.37,22.66,-55.4,470.0
SOL,2h,ema50/200,1,L,3,8,57.2,-29.48,11.74,5.5,-2.34,-29.48,41.14,23.62,-14.32,-2.17,22.41,418.7
XRP,4h,macd26/52,2,L,3,8,57.16,-58.61,34.05,15.6,-48.04,7.46,39.1,-18.36,76.86,280.6,-58.61,178.26
SOL,4h,ema20/100,1,L,3,8,56.72,-22.77,11.88,5.8,0.49,-22.77,26.1,22.87,-11.45,4.55,34.03,399.91
XRP,2h,ema5/20,3,L,3,8,56.52,-110.73,91.0,54.8,-46.85,-88.61,148.58,-81.51,62.5,590.64,-110.73,-21.88
XRP,1d,ema20/100,3,L,3,8,56.51,-95.75,8.31,1.5,0.0,-62.03,65.09,-36.53,-31.67,550.74,-95.75,62.24
SOL,4h,st3.0,2,L+S,3,8,54.88,-106.88,57.68,20.2,-29.48,-59.53,31.85,47.8,133.33,-56.19,-106.88,478.15
SOL,1d,ema5/20,1,L,3,8,54.76,-30.03,12.05,4.5,-5.09,-30.03,39.06,21.5,-24.65,-6.12,4.46,438.97
SOL,4h,c>ema50,3,L+S,3,8,54.63,-278.5,133.7,68.8,-2.51,-1.61,-67.06,-46.6,104.36,-4.17,-278.5,733.11
SOL,1d,c>ema50,1,L+S,3,8,53.42,-21.95,26.91,12.0,25.07,-21.95,11.78,0.67,32.27,13.02,7.04,359.49
XRP,1h,c>ema200,2,L,3,8,53.22,-106.86,60.66,68.6,-21.12,-31.58,55.38,-32.65,-22.71,615.06,-106.86,-29.72
XRP,1h,ema20/50,3,L,3,8,53.21,-133.19,66.2,34.6,-43.97,-74.13,118.62,-27.59,27.85,564.86,-133.19,-6.76
XRP,1d,st3.0,2,L,3,8,52.65,-54.29,18.44,2.2,-19.52,-17.25,15.72,-35.62,-54.29,528.23,-50.24,54.14
SOL,1d,c>ema200,2,L+S,3,8,52.33,-94.07,31.13,6.2,76.65,-94.07,40.98,-71.07,55.2,-23.32,49.02,385.24
SOL,1d,ema10/30,1,L,3,8,51.92,-33.49,10.71,2.8,-9.1,-33.49,39.1,11.73,-28.82,20.51,5.68,409.77
SOL,4h,ema20/100,1,L+S,3,8,51.24,-24.68,22.08,11.9,37.57,7.34,4.13,21.56,8.52,-24.68,15.85,339.65
SOL,2h,ema50/200,1,L+S,3,8,50.89,-36.58,24.44,11.5,33.93,-6.55,33.56,21.69,2.97,-36.58,-7.33,365.41
SOL,4h,st2.0,2,L+S,3,8,50.25,-80.17,84.88,36.0,-12.36,2.43,-0.27,-80.17,35.95,23.69,-27.66,460.41
XRP,1h,macd26/52,3,L,3,8,50.15,-188.71,85.9,65.1,-55.97,-35.82,131.34,-18.28,89.32,409.91,-188.71,69.44
XRP,1d,c>ema200,2,L,3,8,49.48,-67.75,18.97,5.0,-4.09,-45.86,69.32,-9.13,-21.11,507.9,-67.75,-33.41
SOL,2h,c>ema100,3,L+S,3,8,49.14,-221.77,132.42,94.1,20.58,9.58,-54.99,-60.56,104.14,-88.92,-221.77,685.09
XRP,2h,st3.0,3,L+S,3,8,48.85,-119.76,103.55,36.0,40.73,43.25,34.09,-0.08,-69.35,512.77,-119.76,-50.88
SOL,4h,ema50/200,1,L,3,8,48.41,-38.87,11.02,3.0,-8.51,-38.87,39.96,12.58,-25.61,13.56,9.84,384.34
SOL,1h,macd26/52,2,L,3,8,47.62,-98.22,74.06,65.8,-36.84,-98.22,91.08,20.54,16.84,-31.71,-0.75,420.05
XRP,2h,c>ema50,3,L,3,8,47.12,-144.59,85.06,77.1,-90.49,-51.73,165.7,-39.42,10.7,559.23,-144.59,-32.46
XRP,4h,st2.0,2,L,3,8,46.42,-79.48,47.75,15.9,-43.12,-41.17,48.37,-5.93,-31.6,441.13,-79.48,83.14
XRP,1d,ema20/50,3,L,3,8,46.34,-141.7,29.5,2.1,0.0,-35.34,48.51,-36.53,-17.84,636.02,-82.43,-141.7
XRP,1h,ema50/200,2,L+S,3,8,45.54,-130.97,68.75,21.5,36.67,-28.87,-21.76,-9.28,-130.97,604.83,-107.12,20.83
XRP,1d,st3.0,3,L+S,3,8,44.04,-152.36,76.44,4.2,53.16,38.1,-59.94,-120.78,-152.36,708.43,-71.75,-42.54
XRP,4h,c>ema50,2,L+S,3,8,43.78,-169.84,82.93,71.2,-6.73,-1.57,35.43,-65.03,-9.82,644.93,-169.84,-77.1
SOL,1d,ema5/20,1,L+S,3,8,43.62,-45.68,32.65,9.5,28.18,-12.35,30.91,19.72,-15.27,-45.68,-38.21,381.65
SOL,2h,macd12/26,2,L,3,8,42.43,-110.29,74.78,65.6,-28.73,-110.29,88.5,22.19,-7.64,-8.8,-24.45,408.63
SOL,2h,st2.0,2,L,3,8,42.31,-86.7,69.36,36.1,-37.95,-86.7,55.8,-21.6,9.36,-2.31,-28.65,450.53
SOL,1h,st2.0,3,L,3,8,42.3,-64.83,93.83,70.2,-34.76,-64.83,7.79,20.86,-22.33,-3.63,45.52,389.79
XRP,1d,st4.0,2,L,3,8,42.13,-63.11,19.55,1.9,-34.36,-42.29,77.64,-45.0,-63.11,456.22,-62.64,50.58
XRP,2h,macd12/26,2,L,3,8,41.35,-105.65,58.91,67.5,-54.87,-28.53,80.73,-16.06,76.63,305.5,-105.65,73.04
SOL,1h,st4.0,3,L+S,3,8,40.83,-150.08,151.83,51.2,-18.01,11.95,-37.65,-150.08,65.11,-50.65,-22.14,528.1
XRP,1h,ema10/30,3,L,3,8,40.65,-134.89,100.58,64.8,-68.42,-49.56,126.24,-101.23,64.95,568.69,-134.89,-80.62
XRP,2h,ema50/200,2,L+S,3,8,40.59,-86.53,61.14,11.8,68.29,-28.64,3.55,-36.44,-72.23,518.3,-41.6,-86.53
SOL,2h,ema20/100,1,L,3,8,40.56,-34.59,17.84,12.0,-34.59,-14.55,8.18,20.81,-23.91,22.85,37.96,307.74
XRP,1d,c>ema50,3,L,3,8,40.27,-191.85,74.98,7.8,-19.8,-25.23,-4.33,-24.99,-140.66,799.89,-70.9,-191.85
SOL,1h,ema50/200,1,L,3,8,40.23,-38.72,18.46,10.1,-38.72,-13.33,13.18,21.69,-29.94,17.19,40.82,310.96
SOL,1d,ema10/30,1,L+S,3,8,40.03,-31.48,27.92,5.8,18.51,-20.24,30.66,1.16,-31.48,3.09,-29.2,347.75
XRP,4h,ema20/50,2,L+S,3,8,39.74,-165.01,74.93,17.5,-5.76,-17.33,-1.17,-33.61,-165.01,600.57,-115.24,55.45
SOL,2h,ema10/30,1,L+S,3,8,39.59,-26.32,35.15,55.1,-16.48,21.83,-12.14,-26.32,36.77,26.53,27.17,259.33
SOL,1d,ema20/100,1,L,3,8,39.55,-23.29,3.67,1.6,0.0,-23.29,39.22,-9.8,-0.09,-5.36,22.07,293.63
BTC,4h,st2.0,3,L,3,8,39.45,-57.85,50.74,17.1,-53.4,-1.53,-31.25,25.64,-57.85,151.92,38.04,244.0
SOL,1h,c>ema200,3,L+S,3,8,39.22,-203.0,135.93,125.6,1.27,-33.42,-82.44,-5.04,165.69,-145.65,-203.0,616.34
XRP,2h,ema20/100,1,L,3,8,38.39,-32.54,19.15,12.0,-9.94,-21.2,20.28,4.54,-20.77,321.59,-32.54,45.13
SOL,1d,c>ema100,1,L,3,8,38.36,-36.9,14.11,5.4,0.0,-36.9,31.04,-6.5,-17.29,-7.09,10.82,332.77
XRP,1d,c>ema100,3,L,3,8,38.18,-181.04,66.99,5.4,-23.75,-47.57,58.78,-19.95,-162.51,768.19,-86.7,-181.04
SOL,1d,ema20/50,1,L,3,8,38.1,-24.08,5.46,1.8,0.0,-21.25,38.54,5.68,-24.08,1.29,18.29,286.32
SOL,2h,st3.0,1,L,3,8,37.73,-20.86,23.66,19.8,-13.05,-20.86,39.11,-6.68,-11.0,15.83,-0.78,299.28
XRP,1d,ema20/100,2,L,3,8,37.68,-63.83,5.54,1.5,0.0,-41.35,43.39,-24.36,-21.11,367.16,-63.83,41.5
SOL,4h,st3.0,1,L,3,8,37.2,-42.55,18.53,10.1,-28.01,-42.55,32.16,24.35,18.52,4.52,-3.07,291.64
XRP,4h,ema10/30,1,L,3,8,37.05,-46.65,19.77,15.2,-22.28,-8.5,15.47,8.13,-3.33,324.96,-46.65,28.63
SOL,4h,st2.0,1,L,3,8,36.65,-26.44,26.46,17.9,-23.41,-26.44,24.16,-7.14,-6.49,24.78,18.49,289.26
SOL,2h,macd26/52,1,L,3,8,36.55,-39.11,26.29,30.8,-39.11,-2.98,41.31,5.59,12.7,23.92,42.98,207.98
SOL,4h,c>ema50,2,L+S,3,8,36.42,-185.66,89.13,68.8,-1.67,-1.08,-44.7,-31.07,69.57,-2.78,-185.66,488.74
XRP,1d,ema50/200,2,L,3,8,36.02,-77.04,4.83,1.2,0.0,-45.74,77.64,3.05,-21.11,351.67,-77.04,-0.35
SOL,1d,ema20/50,3,L+S,3,8,35.82,-92.62,80.63,3.8,114.98,19.3,77.11,-33.61,-65.15,-92.62,1.68,264.88
SOL,4h,ema5/20,1,L,3,8,35.74,-29.47,26.44,24.5,-22.81,-29.47,6.63,4.14,-9.41,28.42,15.95,292.45
BTC,2h,st4.0,3,L+S,3,8,35.54,-103.24,57.37,25.8,-30.36,79.23,-27.48,32.72,-103.24,152.31,40.19,140.95
SOL,2h,st4.0,1,L,3,8,34.8,-36.04,19.67,13.4,-8.51,-36.04,14.27,-1.69,-2.01,26.94,-10.83,296.3
XRP,4h,st2.0,3,L+S,3,8,34.7,-179.4,122.03,32.2,-10.56,-28.13,11.99,-34.37,-118.53,641.93,-179.4,-5.31
SOL,1h,ema50/200,1,L+S,3,8,34.44,-38.49,27.55,20.5,-38.49,27.31,-21.24,17.38,-23.11,0.35,29.61,283.72
XRP,1d,macd26/52,1,L,3,8,34.05,-16.67,9.24,2.5,-6.87,-2.23,31.77,2.76,-16.67,264.1,11.29,-11.76
SOL,2h,ema20/100,1,L+S,3,8,33.96,-32.02,28.7,24.2,-29.74,24.83,-32.02,15.47,-12.56,10.34,25.09,270.29
XRP,2h,c>ema100,1,L,3,8,32.94,-55.63,26.21,48.6,-13.1,-12.12,27.12,-17.16,9.28,312.59,-55.63,12.52
SOL,2h,macd26/52,1,L+S,3,8,32.82,-34.76,37.25,61.5,-34.76,46.41,33.82,-16.6,56.01,7.41,35.45,134.78
SOL,4h,c>ema50,1,L,3,8,32.78,-28.48,26.05,34.4,-20.5,-28.48,13.24,6.03,-0.19,18.99,-22.37,295.54
XRP,1d,c>ema200,3,L+S,3,8,32.78,-302.1,80.98,9.8,75.54,-53.25,89.6,-34.79,-31.67,645.53,-126.58,-302.1
SOL,2h,c>ema100,2,L+S,3,8,32.76,-147.85,88.28,94.1,13.72,6.39,-36.66,-40.38,69.43,-59.28,-147.85,456.73
XRP,2h,st3.0,2,L+S,3,8,32.56,-79.84,69.03,36.0,27.15,28.83,22.73,-0.05,-46.23,341.85,-79.84,-33.92
SOL,2h,c>ema100,1,L,3,8,31.93,-26.23,26.31,47.0,-16.77,-26.23,14.45,4.02,-0.09,4.91,-12.95,288.07
SOL,4h,ema50/200,1,L+S,3,8,31.73,-28.08,31.55,6.2,19.6,-28.08,30.84,2.34,-24.28,-14.77,-26.51,294.74
XRP,2h,ema50/200,1,L,3,8,31.58,-23.61,14.8,5.6,-2.12,-23.61,20.95,-6.51,-15.84,282.91,-21.93,18.82
XRP,2h,c>ema50,2,L,3,8,31.41,-96.4,56.71,77.1,-60.33,-34.49,110.47,-26.28,7.13,372.82,-96.4,-21.64
XRP,1d,ema20/50,2,L,3,8,30.89,-94.47,19.66,2.1,0.0,-23.56,32.34,-24.36,-11.89,424.02,-54.95,-94.47
SOL,1d,ema50/200,1,L,3,8,30.87,-40.85,0.0,0.9,0.0,-40.85,16.31,0.0,-25.65,28.91,33.05,235.19
SOL,1h,c>ema200,1,L,3,8,30.5,-33.37,28.09,62.6,-19.97,-33.37,9.69,12.44,10.06,-4.59,-7.87,277.63
XRP,1d,st2.0,1,L,3,8,30.26,-26.55,12.13,2.8,-0.94,-4.98,20.4,0.98,-20.38,284.52,-11.0,-26.55
BTC,2h,ema10/30,3,L,3,8,29.89,-64.09,55.17,30.1,-64.09,8.0,-32.45,16.73,-59.43,146.24,38.25,185.86
ETH,4h,macd12/26,2,L,3,8,29.82,-47.75,42.52,33.0,-33.25,-29.91,105.45,73.92,-47.75,71.44,25.25,73.44
XRP,1d,st3.0,2,L+S,3,8,29.36,-101.57,50.96,4.2,35.44,25.4,-39.96,-80.52,-101.57,472.29,-47.83,-28.36
SOL,1h,st4.0,1,L,3,8,29.11,-24.0,27.93,25.5,-22.82,-24.0,17.77,-11.57,-5.59,10.14,22.1,246.86
BTC,4h,ema5/20,2,L,3,8,28.84,-42.52,29.22,24.8,-42.52,3.27,-17.54,22.61,-30.84,119.66,53.09,122.95
SOL,4h,ema5/20,1,L+S,3,8,28.56,-35.5,39.78,49.2,-5.93,-4.19,-35.5,-17.44,14.9,19.61,-14.91,271.92
SOL,1h,st2.0,2,L,3,8,28.2,-43.22,62.55,70.2,-23.17,-43.22,5.2,13.9,-14.88,-2.42,30.35,259.86
ETH,2h,macd26/52,2,L,3,8,28.18,-61.67,43.13,32.1,-39.46,-34.41,110.93,74.8,-61.67,76.24,19.52,79.47
SOL,2h,st3.0,1,L+S,3,8,27.83,-50.36,42.48,39.6,14.66,10.65,30.39,-39.81,12.43,-5.36,-50.36,250.02
XRP,1d,ema5/20,1,L,3,8,27.73,-27.21,15.22,4.5,-1.48,-17.93,13.54,-4.86,-27.21,260.88,-11.59,10.51
XRP,4h,ema10/30,1,L+S,3,8,27.7,-72.67,34.64,31.1,-4.87,15.66,-12.36,11.5,-15.51,322.14,-72.67,-22.28
XRP,2h,ema10/30,3,L+S,3,8,27.46,-230.82,131.56,64.1,28.55,-44.64,92.51,-34.11,-15.45,594.86,-171.23,-230.82
SOL,4h,st3.0,1,L+S,3,8,27.44,-53.44,28.84,20.2,-14.74,-29.77,15.92,23.9,66.67,-28.1,-53.44,239.07
SOL,1d,ema50/200,3,L+S,3,8,27.33,-111.14,20.87,1.8,114.98,-111.14,-43.32,-70.91,-35.41,86.73,99.15,178.58
SOL,1h,st4.0,2,L+S,3,8,27.22,-100.05,101.22,51.2,-12.01,7.97,-25.1,-100.05,43.41,-33.77,-14.76,352.07
XRP,1h,ema10/30,2,L,3,8,27.1,-89.93,67.05,64.8,-45.61,-33.04,84.16,-67.49,43.3,379.13,-89.93,-53.75
BTC,4h,ema10/30,2,L,3,8,26.85,-59.55,30.8,15.5,-59.55,-8.89,-2.28,37.12,-38.84,46.98,87.43,152.84
XRP,1d,c>ema50,2,L,3,8,26.84,-127.9,49.99,7.8,-13.2,-16.82,-2.89,-16.66,-93.77,533.26,-47.27,-127.9
BTC,1d,ema20/50,3,L+S,3,8,26.66,-30.37,43.39,3.4,31.76,-30.37,-12.12,1.95,44.27,17.91,44.47,115.44
BTC,1d,st3.0,3,L+S,3,8,26.43,-37.98,35.23,4.2,40.05,35.05,-2.18,5.69,-37.98,68.49,-21.57,123.9
BTC,4h,st2.0,2,L,3,8,26.3,-38.57,33.83,17.1,-35.6,-1.02,-20.83,17.09,-38.57,101.28,25.36,162.67
SOL,1h,c>ema200,2,L+S,3,8,26.15,-135.33,90.62,125.6,0.85,-22.28,-54.96,-3.36,110.46,-97.1,-135.33,410.89
BTC,1d,st4.0,2,L,3,8,26.13,-21.52,5.79,1.6,-21.52,-13.76,4.88,23.59,-12.88,65.18,39.84,123.71
ETH,1d,c>ema100,2,L,3,8,25.65,-62.53,17.25,4.0,-2.84,-62.53,162.05,28.79,-51.93,21.1,21.3,89.26
BTC,2h,st3.0,3,L,3,8,25.5,-59.44,51.77,20.1,-59.44,13.41,-34.65,5.37,-50.92,135.6,61.96,132.68
BTC,1h,ema20/100,2,L,3,8,25.41,-51.56,33.7,22.2,-51.56,-2.06,-9.42,21.65,-48.78,94.5,72.96,126.0
BTC,4h,c>ema200,2,L+S,3,8,25.39,-29.02,32.07,28.0,45.4,28.06,-29.02,8.25,-24.22,-5.28,53.21,126.71
BTC,1h,ema50/200,3,L+S,3,8,25.38,-83.6,59.86,21.0,-20.74,31.23,-22.88,24.9,-83.6,16.99,112.21,144.95
ETH,2h,ema50/200,3,L+S,3,8,25.2,-48.76,86.03,10.8,30.86,-48.76,40.7,127.95,78.91,-45.86,18.51,-0.71
SOL,2h,c>ema50,1,L,3,8,25.17,-30.77,29.33,67.0,-24.28,-30.77,9.76,-7.32,-11.26,0.46,16.89,247.91
SOL,4h,st2.0,1,L+S,3,8,25.12,-40.08,42.44,36.0,-6.18,1.21,-0.14,-40.08,17.98,11.84,-13.83,230.2
XRP,4h,c>ema200,3,L+S,3,8,24.96,-300.11,119.15,42.0,115.02,-15.11,-78.95,-23.51,-24.69,703.33,-176.32,-300.11
XRP,1d,macd26/52,1,L+S,3,8,24.88,-110.68,28.55,5.8,24.88,24.2,26.22,3.65,-31.6,216.06,46.34,-110.68
BTC,2h,macd26/52,3,L,3,8,24.47,-43.87,56.09,31.8,-43.87,-21.32,-27.29,22.1,-38.37,138.13,-35.08,201.49
BTC,4h,macd12/26,3,L,3,8,24.39,-42.99,55.95,32.6,-40.8,-12.05,-25.22,19.7,-42.99,107.24,-10.22,199.46
BTC,2h,st4.0,2,L+S,3,8,23.69,-68.83,38.25,25.8,-20.24,52.82,-18.32,21.81,-68.83,101.54,26.79,93.97
XRP,2h,st2.0,1,L,3,8,23.36,-37.55,25.33,32.4,-8.63,-17.33,34.51,-8.53,32.48,212.6,-37.55,-20.68
XRP,4h,st2.0,2,L+S,3,8,23.13,-119.6,81.36,32.2,-7.04,-18.75,7.99,-22.92,-79.02,427.95,-119.6,-3.54
BTC,4h,ema50/200,1,L,3,8,22.8,-9.03,2.08,2.4,-4.97,-9.03,3.14,23.87,-6.61,36.22,41.96,97.82
XRP,2h,st4.0,1,L,3,8,22.71,-47.62,21.62,11.8,-23.32,-23.37,29.43,5.63,-4.06,190.99,-47.62,54.02
XRP,1h,st2.0,2,L,3,8,22.51,-110.94,58.2,65.6,-50.96,-6.79,69.82,-4.29,103.47,270.34,-110.94,-90.54
XRP,2h,ema10/30,1,L,3,8,22.32,-38.62,23.04,31.6,-15.53,-22.63,38.44,-2.58,2.48,217.1,-38.62,-0.1
BTC,4h,ema50/200,1,L+S,3,8,22.19,-3.82,10.14,5.0,14.98,3.8,-3.82,22.05,-2.18,22.39,35.91,84.42
XRP,1d,c>ema200,2,L+S,3,8,21.86,-201.4,53.99,9.8,50.36,-35.5,59.73,-23.19,-21.11,430.36,-84.39,-201.4
BTC,1d,ema10/30,1,L,3,8,21.45,-10.53,2.6,2.4,-4.7,-10.53,2.04,22.66,-9.98,34.22,39.24,98.65
SOL,2h,st2.0,1,L,3,8,21.15,-43.35,34.68,36.1,-18.97,-43.35,27.9,-10.8,4.68,-1.16,-14.33,225.26
SOL,1h,macd26/52,3,L+S,3,8,21.13,-210.43,175.38,131.0,13.46,-136.73,125.31,-19.98,143.68,-210.43,-161.67,415.38
SOL,1h,ema20/100,2,L+S,3,8,21.01,-149.24,98.36,46.5,-51.56,-43.46,-149.24,-32.38,-30.66,94.89,-71.42,451.91
