coin,tf,signal,lev,mode,period,ret,bh_ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,ema20/100,1,L+S,bull_2024h2,46.74,47.4,False,50,0.34,14.92
BTC,1h,ema20/100,2,L,bull_2024h2,94.5,47.4,True,25,0.4,15.47
BTC,1h,ema20/100,2,L+S,bull_2024h2,93.47,47.4,True,50,0.34,29.85
BTC,1h,ema20/100,3,L,bull_2024h2,141.74,47.4,True,25,0.4,23.2
BTC,1h,ema20/100,3,L+S,bull_2024h2,140.21,47.4,True,50,0.34,44.77
BTC,1h,ema5/20,1,L,bull_2024h2,19.26,47.4,False,128,0.297,16.25
BTC,1h,ema5/20,1,L+S,bull_2024h2,-7.99,47.4,False,256,0.262,31.92
BTC,1h,ema5/20,2,L,bull_2024h2,38.52,47.4,False,128,0.297,32.51
BTC,1h,ema5/20,2,L+S,bull_2024h2,-15.97,47.4,False,256,0.262,63.85
BTC,1h,ema5/20,3,L,bull_2024h2,57.78,47.4,True,128,0.297,48.76
BTC,1h,ema5/20,3,L+S,bull_2024h2,-23.96,47.4,False,256,0.262,95.77
BTC,1h,c>ema50,1,L,bull_2024h2,24.11,47.4,False,148,0.216,13.81
BTC,1h,c>ema50,1,L+S,bull_2024h2,0.09,47.4,False,296,0.199,34.29
BTC,1h,c>ema50,2,L,bull_2024h2,48.21,47.4,True,148,0.216,27.62
BTC,1h,c>ema50,2,L+S,bull_2024h2,0.18,47.4,False,296,0.199,68.59
BTC,1h,c>ema50,3,L,bull_2024h2,72.32,47.4,True,148,0.216,41.44
BTC,1h,c>ema50,3,L+S,bull_2024h2,0.28,47.4,False,296,0.199,102.88
BTC,1h,c>ema100,1,L,bull_2024h2,30.58,47.4,False,102,0.196,12.36
BTC,1h,c>ema100,1,L+S,bull_2024h2,13.31,47.4,False,204,0.167,25.21
BTC,1h,c>ema100,2,L,bull_2024h2,61.15,47.4,True,102,0.196,24.73
BTC,1h,c>ema100,2,L+S,bull_2024h2,26.62,47.4,False,204,0.167,50.41
BTC,1h,c>ema100,3,L,bull_2024h2,91.73,47.4,True,102,0.196,37.09
BTC,1h,c>ema100,3,L+S,bull_2024h2,39.92,47.4,False,204,0.167,75.62
BTC,1h,c>ema200,1,L,bull_2024h2,34.45,47.4,False,72,0.181,10.02
BTC,1h,c>ema200,1,L+S,bull_2024h2,20.63,47.4,False,144,0.146,21.74
BTC,1h,c>ema200,2,L,bull_2024h2,68.91,47.4,True,72,0.181,20.05
BTC,1h,c>ema200,2,L+S,bull_2024h2,41.27,47.4,False,144,0.146,43.48
BTC,1h,c>ema200,3,L,bull_2024h2,103.36,47.4,True,72,0.181,30.07
BTC,1h,c>ema200,3,L+S,bull_2024h2,61.9,47.4,True,144,0.146,65.22
BTC,1h,macd12/26,1,L,bull_2024h2,-16.75,47.4,False,172,0.337,27.21
BTC,1h,macd12/26,1,L+S,bull_2024h2,-79.02,47.4,False,344,0.305,83.23
BTC,1h,macd12/26,2,L,bull_2024h2,-33.5,47.4,False,172,0.337,54.43
BTC,1h,macd12/26,2,L+S,bull_2024h2,-158.03,47.4,False,344,0.305,166.46
BTC,1h,macd12/26,3,L,bull_2024h2,-50.25,47.4,False,172,0.337,81.64
