rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,1.0,atr_3x,7,0.3,True,15,33.3,24.83,13.04,1.91,1h
30,1.2,1.0,atr_3x,7,0.3,True,15,33.3,24.83,13.04,1.91,1h
30,2.0,1.0,atr_3x,3,0.3,True,11,54.5,24.72,2.02,12.22,1h
30,2.0,1.5,atr_3x,5,0.2,True,11,54.5,24.51,3.24,7.57,1h
35,1.5,1.0,atr_2x,5,0.3,True,49,34.7,24.06,12.46,1.93,1h
35,1.2,1.0,atr_2x,5,0.3,True,53,35.8,23.97,13.81,1.74,1h
35,1.5,1.5,atr_3x,7,0.2,True,44,34.1,23.87,18.04,1.32,1h
30,2.0,1.0,atr_2x,5,0.3,True,11,54.5,23.84,3.36,7.09,1h
35,1.2,1.0,atr_3x,7,0.2,True,51,25.5,23.57,18.48,1.28,1h
35,1.2,1.5,bb_mid,5,0.3,True,49,55.1,23.51,15.94,1.47,1h
35,1.5,1.0,atr_3x,5,0.3,True,46,23.9,23.41,18.1,1.29,1h
35,1.2,2.0,atr_2x,5,0.3,True,46,52.2,22.64,17.89,1.27,1h
35,1.5,1.0,bb_mid,5,0.2,True,49,44.9,22.62,6.68,3.38,1h
35,1.5,1.0,atr_2x,7,0.2,True,49,34.7,22.57,11.67,1.94,1h
35,1.2,1.0,atr_2x,7,0.2,True,53,35.8,22.51,12.94,1.74,1h
35,1.2,2.0,atr_3x,7,0.3,True,43,41.9,22.48,27.41,0.82,1h
35,1.2,1.5,atr_2x,5,0.2,True,49,46.9,22.33,10.92,2.05,1h
30,2.0,1.0,atr_2x,7,0.2,True,11,54.5,22.16,3.14,7.06,1h
35,1.5,1.0,atr_3x,7,0.2,True,46,23.9,22.14,16.99,1.3,1h
35,1.2,2.0,bb_mid,7,0.3,True,47,61.7,22.1,24.72,0.89,1h
35,1.2,1.5,bb_mid,7,0.2,True,49,55.1,22.08,14.89,1.48,1h
35,1.2,1.0,bb_mid,5,0.2,True,53,45.3,22.08,6.68,3.3,1h
35,2.0,1.5,atr_3x,7,0.3,True,28,35.7,21.95,18.32,1.2,1h
30,2.0,1.5,atr_3x,3,0.3,True,11,54.5,21.92,2.92,7.52,1h
30,2.0,1.5,bb_mid,7,0.3,True,11,63.6,21.92,4.15,5.29,1h
35,1.5,2.0,atr_2x,5,0.3,True,44,52.3,21.54,17.89,1.2,1h
35,1.2,2.0,atr_2x,7,0.2,True,46,52.2,21.43,16.75,1.28,1h
30,2.0,2.0,atr_3x,5,0.2,True,11,54.5,21.39,4.22,5.06,1h
35,1.5,1.5,bb_mid,5,0.3,True,47,55.3,21.31,14.02,1.52,1h
35,1.5,1.5,atr_2x,5,0.2,True,47,46.8,20.85,9.57,2.18,1h
30,1.5,1.5,atr_2x,5,0.3,True,15,53.3,20.8,5.07,4.1,1h
30,1.2,1.5,atr_2x,5,0.3,True,15,53.3,20.8,5.07,4.1,1h
35,1.5,2.0,atr_2x,7,0.2,True,44,52.3,20.41,16.75,1.22,1h
30,2.0,2.0,atr_2x,7,0.3,True,11,54.5,20.37,8.77,2.32,1h
35,1.5,2.0,bb_mid,7,0.3,True,45,62.2,20.35,24.72,0.82,1h
30,1.2,2.0,atr_3x,5,0.3,True,15,46.7,20.33,6.68,3.04,1h
30,1.5,2.0,atr_3x,5,0.3,True,15,46.7,20.33,6.68,3.04,1h
35,1.5,1.0,bb_mid,3,0.3,True,49,44.9,20.29,6.02,3.37,1h
35,1.2,1.5,atr_2x,3,0.3,True,49,46.9,20.13,9.87,2.04,1h
35,1.5,1.5,bb_mid,7,0.2,True,47,55.3,20.04,13.07,1.53,1h
35,1.2,1.0,bb_mid,3,0.3,True,53,45.3,19.83,6.02,3.29,1h
35,1.2,2.0,atr_3x,5,0.3,True,43,41.9,19.56,19.96,0.98,1h
30,1.5,1.5,atr_2x,7,0.2,True,15,53.3,19.39,4.73,4.1,1h
30,1.2,1.5,atr_2x,7,0.2,True,15,53.3,19.39,4.73,4.1,1h
30,2.0,1.0,bb_mid,5,0.3,True,11,63.6,19.34,2.05,9.43,1h
