entry_dt,exit_dt,side,result,pnl_pct
2024-03-27 07:30:00+00:00,2024-03-27 09:00:00+00:00,long,loss,-1.5932
2024-04-05 05:30:00+00:00,2024-04-05 12:00:00+00:00,long,loss,-2.4686
2024-04-10 12:45:00+00:00,2024-04-10 14:30:00+00:00,long,win,4.0101
2024-04-12 02:30:00+00:00,2024-04-12 03:15:00+00:00,short,loss,-1.4259
2024-04-15 06:30:00+00:00,2024-04-15 09:15:00+00:00,short,loss,-2.4423
2024-04-18 11:30:00+00:00,2024-04-18 14:00:00+00:00,short,loss,-2.5476
2024-04-20 16:00:00+00:00,2024-04-20 17:00:00+00:00,short,loss,-1.8902
2024-04-22 17:30:00+00:00,2024-04-22 19:15:00+00:00,short,win,2.3537
2024-04-27 00:45:00+00:00,2024-04-27 01:15:00+00:00,long,loss,-1.7064
2024-04-27 01:30:00+00:00,2024-04-27 17:45:00+00:00,long,win,4.3907
2024-05-05 13:45:00+00:00,2024-05-05 14:30:00+00:00,short,win,1.4154
2024-05-09 15:30:00+00:00,2024-05-09 16:15:00+00:00,short,loss,-2.2782
2024-05-26 02:45:00+00:00,2024-05-26 06:00:00+00:00,long,win,0.9622
2024-05-26 07:45:00+00:00,2024-05-26 08:15:00+00:00,short,loss,-0.7793
2024-05-30 02:30:00+00:00,2024-05-30 04:30:00+00:00,short,loss,-1.2763
2024-06-04 13:45:00+00:00,2024-06-04 14:00:00+00:00,short,loss,-1.4
2024-06-05 15:30:00+00:00,2024-06-05 18:45:00+00:00,short,win,2.4523
2024-06-09 13:00:00+00:00,2024-06-09 13:15:00+00:00,short,win,0.9605
2024-06-12 10:15:00+00:00,2024-06-12 12:30:00+00:00,short,loss,-1.1127
2024-06-23 00:45:00+00:00,2024-06-23 10:00:00+00:00,short,win,0.6436
2024-06-28 14:45:00+00:00,2024-06-28 19:15:00+00:00,long,loss,-1.8715
2024-07-02 14:45:00+00:00,2024-07-03 01:45:00+00:00,long,loss,-1.7142
2024-07-05 15:30:00+00:00,2024-07-06 13:45:00+00:00,short,loss,-3.4745
2024-07-07 21:30:00+00:00,2024-07-07 23:45:00+00:00,long,loss,-1.944
2024-07-18 15:15:00+00:00,2024-07-18 16:00:00+00:00,long,loss,-1.9486
2024-07-19 03:45:00+00:00,2024-07-19 07:00:00+00:00,short,win,1.9894
2024-07-28 18:30:00+00:00,2024-07-28 21:00:00+00:00,short,win,1.4147
