macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,35,25,70,2.0,atr_2x,3,0.7,221,165,56,43.9,41.2,51.8,-95.72,98.12,-0.98
1200,35,20,70,2.0,atr_2x,3,0.7,162,95,67,42.6,42.1,43.3,-95.74,96.59,-0.99
500,40,20,65,2.0,atr_2x,3,0.7,259,153,106,48.3,43.8,54.7,-95.83,97.73,-0.98
800,35,20,65,1.5,atr_2x,3,0.7,251,113,138,39.8,35.4,43.5,-95.92,97.65,-0.98
800,35,20,65,2.0,atr_2x,3,0.7,227,103,124,47.1,42.7,50.8,-96.01,97.73,-0.98
800,45,20,70,1.5,atr_3x,3,0.7,268,184,84,30.6,29.9,32.1,-96.02,97.66,-0.98
1200,35,20,70,1.5,atr_3x,3,0.7,182,104,78,28.6,28.8,28.2,-96.11,96.95,-0.99
800,40,20,70,2.0,atr_3x,3,0.7,213,142,71,37.6,35.9,40.8,-96.19,97.97,-0.98
800,40,20,70,1.5,atr_3x,3,0.7,241,157,84,30.3,29.3,32.1,-96.22,98.02,-0.98
800,35,25,65,2.0,atr_2x,3,0.7,275,151,124,46.2,42.4,50.8,-96.26,98.35,-0.98
1200,40,20,70,2.0,atr_3x,3,0.7,201,136,65,36.3,36.0,36.9,-96.34,97.24,-0.99
800,35,25,65,1.5,atr_3x,3,0.7,304,171,133,31.9,27.5,37.6,-96.35,98.5,-0.98
500,35,25,65,2.0,atr_2x,3,0.7,271,165,106,46.5,41.2,54.7,-96.38,98.3,-0.98
800,35,20,70,1.5,atr_2x,3,0.7,197,113,84,36.0,35.4,36.9,-96.49,97.48,-0.99
1200,35,25,70,2.0,atr_2x,3,0.7,204,137,67,42.2,41.6,43.3,-96.49,97.94,-0.99
1200,45,25,70,2.0,atr_3x,3,0.7,263,198,65,36.5,36.4,36.9,-96.59,98.36,-0.98
800,40,25,70,2.0,atr_3x,3,0.7,261,190,71,36.8,35.3,40.8,-96.62,98.95,-0.98
500,45,25,70,1.5,atr_3x,3,0.7,321,260,61,31.2,29.2,39.3,-96.65,98.91,-0.98
1200,35,20,65,2.0,atr_2x,3,0.7,206,95,111,45.6,42.1,48.6,-96.66,97.6,-0.99
1200,40,20,70,1.5,atr_3x,3,0.7,229,151,78,28.8,29.1,28.2,-96.68,97.28,-0.99
800,45,20,70,2.0,atr_2x,3,0.7,247,174,73,44.9,44.3,46.6,-96.75,97.82,-0.99
500,35,25,70,1.5,atr_3x,3,0.7,247,186,61,30.8,28.0,39.3,-96.78,99.13,-0.98
500,45,25,70,2.0,atr_2x,3,0.7,295,239,56,44.7,43.1,51.8,-96.81,98.16,-0.99
500,40,25,70,1.5,atr_3x,3,0.7,294,233,61,31.0,28.8,39.3,-96.81,99.03,-0.98
800,40,20,65,1.5,atr_2x,3,0.7,299,161,138,39.8,36.6,43.5,-96.81,97.67,-0.99
1200,45,20,70,1.5,atr_3x,3,0.7,254,176,78,29.1,29.5,28.2,-96.85,97.42,-0.99
800,45,20,65,1.5,atr_2x,3,0.7,329,191,138,39.8,37.2,43.5,-96.88,97.95,-0.99
800,45,25,70,2.0,atr_2x,3,0.7,295,222,73,44.4,43.7,46.6,-96.96,98.39,-0.99
800,45,25,65,1.5,atr_3x,3,0.7,376,243,133,31.6,28.4,37.6,-97.01,98.52,-0.98
1200,35,20,65,1.5,atr_2x,3,0.7,230,105,125,37.8,34.3,40.8,-97.13,98.01,-0.99
1200,45,20,70,2.0,atr_2x,3,0.7,233,166,67,43.8,44.0,43.3,-97.15,97.88,-0.99
800,40,25,65,1.5,atr_3x,3,0.7,349,216,133,31.5,27.8,37.6,-97.16,98.51,-0.99
1200,35,20,70,1.5,atr_2x,3,0.7,183,105,78,33.9,34.3,33.3,-97.17,97.74,-0.99
1200,40,25,70,2.0,atr_3x,3,0.7,243,178,65,35.8,35.4,36.9,-97.22,98.73,-0.98
1200,35,25,65,2.0,atr_2x,3,0.7,248,137,111,44.8,41.6,48.6,-97.25,98.46,-0.99
800,40,20,70,1.5,atr_2x,3,0.7,245,161,84,36.7,36.6,36.9,-97.25,97.6,-1.0
800,45,20,65,2.0,atr_2x,3,0.7,298,174,124,47.0,44.3,50.8,-97.3,98.42,-0.99
500,45,25,65,2.0,atr_2x,3,0.7,345,239,106,46.7,43.1,54.7,-97.31,98.74,-0.99
500,40,25,70,2.0,atr_2x,3,0.7,267,211,56,44.2,42.2,51.8,-97.32,98.28,-0.99
800,45,20,70,1.5,atr_2x,3,0.7,275,191,84,37.1,37.2,36.9,-97.32,97.8,-1.0
